09-01-2026 14:59:19 RAM 3181/7620MB (lfb 3x4MB) SWAP 6/3810MB (cached 0MB) CPU [0%@1344,100%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.437C soc2@48.531C soc0@49.187C gpu@50.093C tj@50.093C soc1@49.218C VDD_IN 5585mW/5573mW VDD_CPU_GPU_CV 1067mW/1094mW VDD_SOC 1624mW/1602mW
09-01-2026 14:59:19 RAM 3185/7620MB (lfb 2x4MB) SWAP 6/3810MB (cached 0MB) CPU [0%@1344,95%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.5C soc2@48.468C soc0@49.156C gpu@49.906C tj@50.187C soc1@49.125C VDD_IN 5585mW/5573mW VDD_CPU_GPU_CV 1028mW/1092mW VDD_SOC 1624mW/1603mW
09-01-2026 14:59:19 RAM 3188/7620MB (lfb 1x4MB) SWAP 6/3810MB (cached 0MB) CPU [4%@1344,90%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.25C soc2@48.437C soc0@49.125C gpu@50C tj@50C soc1@49.187C VDD_IN 5585mW/5574mW VDD_CPU_GPU_CV 988mW/1089mW VDD_SOC 1624mW/1604mW
09-01-2026 14:59:19 RAM 3190/7620MB (lfb 18x1MB) SWAP 6/3810MB (cached 0MB) CPU [0%@1344,89%@1344,0%@1344,4%@1344,0%@729,4%@729] GR3D_FREQ 0% cpu@49.25C soc2@48.531C soc0@49.031C gpu@49.906C tj@49.906C soc1@49.156C VDD_IN 5546mW/5573mW VDD_CPU_GPU_CV 1028mW/1087mW VDD_SOC 1624mW/1604mW
09-01-2026 14:59:20 RAM 3595/7620MB (lfb 1x256kB) SWAP 6/3810MB (cached 0MB) CPU [70%@1344,33%@1344,13%@1344,0%@1344,66%@1344,0%@1344] GR3D_FREQ 0% cpu@49.593C soc2@48.5C soc0@49.125C gpu@49.781C tj@49.781C soc1@49.187C VDD_IN 5823mW/5579mW VDD_CPU_GPU_CV 1147mW/1089mW VDD_SOC 1661mW/1606mW
09-01-2026 14:59:20 RAM 4066/7620MB (lfb 3x128kB) SWAP 6/3810MB (cached 0MB) CPU [100%@1344,0%@1344,0%@1344,0%@1344,100%@1344,0%@1344] GR3D_FREQ 0% cpu@49.625C soc2@48.562C soc0@49.156C gpu@50C tj@50C soc1@49.187C VDD_IN 6091mW/5592mW VDD_CPU_GPU_CV 1263mW/1093mW VDD_SOC 1700mW/1608mW
09-01-2026 14:59:20 RAM 4233/7620MB (lfb 1x4MB) SWAP 6/3810MB (cached 0MB) CPU [61%@1344,0%@1344,0%@1344,4%@1344,95%@1344,0%@1344] GR3D_FREQ 0% cpu@49.5C soc2@48.531C soc0@49.156C gpu@50.062C tj@50.062C soc1@49.062C VDD_IN 6011mW/5602mW VDD_CPU_GPU_CV 1265mW/1097mW VDD_SOC 1700mW/1610mW
09-01-2026 14:59:20 RAM 4232/7620MB (lfb 1x4MB) SWAP 6/3810MB (cached 0MB) CPU [4%@729,0%@729,4%@729,0%@729,84%@1344,0%@1344] GR3D_FREQ 10% cpu@49.531C soc2@48.437C soc0@49.218C gpu@50C tj@50C soc1@49.062C VDD_IN 5902mW/5610mW VDD_CPU_GPU_CV 1186mW/1100mW VDD_SOC 1700mW/1612mW
09-01-2026 14:59:20 RAM 4231/7620MB (lfb 1x4MB) SWAP 9/3810MB (cached 0MB) CPU [5%@1190,0%@1190,0%@1190,25%@1190,90%@1344,0%@1344] GR3D_FREQ 15% cpu@49.468C soc2@48.5C soc0@49.187C gpu@49.875C tj@49.968C soc1@49.156C VDD_IN 6051mW/5620mW VDD_CPU_GPU_CV 1186mW/1102mW VDD_SOC 1779mW/1616mW
09-01-2026 14:59:21 RAM 4221/7620MB (lfb 1x4MB) SWAP 26/3810MB (cached 0MB) CPU [4%@1344,0%@1344,9%@1344,100%@1344,78%@1344,4%@1344] GR3D_FREQ 8% cpu@49.5C soc2@48.531C soc0@49.062C gpu@49.875C tj@49.875C soc1@49.156C VDD_IN 6170mW/5632mW VDD_CPU_GPU_CV 1263mW/1105mW VDD_SOC 1779mW/1620mW
