09-01-2026 15:00:31 RAM 4315/7620MB (lfb 6x4MB) SWAP 281/3810MB (cached 0MB) CPU [20%@1344,0%@1344,70%@1344,0%@1344,0%@729,4%@729] GR3D_FREQ 12% cpu@49.5C soc2@48.531C soc0@49.156C gpu@50.156C tj@50.156C soc1@49.093C VDD_IN 5982mW/5588mW VDD_CPU_GPU_CV 1067mW/1067mW VDD_SOC 1779mW/1619mW
09-01-2026 15:00:31 RAM 4334/7620MB (lfb 1x512kB) SWAP 281/3810MB (cached 0MB) CPU [18%@1344,0%@1344,80%@1344,25%@1344,0%@729,0%@729] GR3D_FREQ 19% cpu@49.968C soc2@48.531C soc0@49.156C gpu@50.031C tj@50.031C soc1@49.187C VDD_IN 6021mW/5597mW VDD_CPU_GPU_CV 1067mW/1067mW VDD_SOC 1779mW/1623mW
09-01-2026 15:00:31 RAM 4329/7620MB (lfb 1x2MB) SWAP 281/3810MB (cached 0MB) CPU [0%@729,19%@729,15%@729,27%@1344,80%@1344,9%@1344] GR3D_FREQ 22% cpu@49.5C soc2@48.562C soc0@49.218C gpu@50C tj@50C soc1@49.031C VDD_IN 6091mW/5607mW VDD_CPU_GPU_CV 1147mW/1068mW VDD_SOC 1779mW/1626mW
09-01-2026 15:00:32 RAM 4327/7620MB (lfb 1x2MB) SWAP 281/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,95%@1344,0%@1344] GR3D_FREQ 0% cpu@49.5C soc2@48.437C soc0@49.281C gpu@49.906C tj@49.906C soc1@49.093C VDD_IN 5863mW/5612mW VDD_CPU_GPU_CV 1107mW/1069mW VDD_SOC 1700mW/1627mW
09-01-2026 15:00:32 RAM 4358/7620MB (lfb 1x1MB) SWAP 281/3810MB (cached 0MB) CPU [4%@1344,0%@1344,0%@1344,28%@1344,95%@1344,0%@1344] GR3D_FREQ 0% cpu@49.531C soc2@48.5C soc0@49.187C gpu@49.812C tj@49.812C soc1@49.156C VDD_IN 5863mW/5617mW VDD_CPU_GPU_CV 1107mW/1070mW VDD_SOC 1700mW/1629mW
09-01-2026 15:00:32 RAM 4449/7620MB (lfb 2x512kB) SWAP 284/3810MB (cached 0MB) CPU [5%@1344,0%@1344,4%@1344,35%@1344,94%@1344,0%@1344] GR3D_FREQ 4% cpu@49.437C soc2@48.5C soc0@49.093C gpu@50.156C tj@50.156C soc1@49.156C VDD_IN 5823mW/5621mW VDD_CPU_GPU_CV 1107mW/1071mW VDD_SOC 1661mW/1630mW
09-01-2026 15:00:32 RAM 4595/7620MB (lfb 1x1MB) SWAP 288/3810MB (cached 0MB) CPU [4%@1344,0%@1344,0%@1344,66%@1344,95%@1344,0%@1344] GR3D_FREQ 5% cpu@49.531C soc2@48.625C soc0@49.187C gpu@49.937C tj@49.937C soc1@49.156C VDD_IN 5902mW/5626mW VDD_CPU_GPU_CV 1186mW/1073mW VDD_SOC 1661mW/1630mW
09-01-2026 15:00:32 RAM 4721/7620MB (lfb 57x256kB) SWAP 300/3810MB (cached 0MB) CPU [4%@729,0%@729,4%@729,60%@729,90%@1344,0%@1344] GR3D_FREQ 0% cpu@49.718C soc2@48.562C soc0@49.218C gpu@50.031C tj@50.031C soc1@49C VDD_IN 5972mW/5632mW VDD_CPU_GPU_CV 1226mW/1076mW VDD_SOC 1661mW/1631mW
09-01-2026 15:00:33 RAM 4724/7620MB (lfb 8x1MB) SWAP 343/3810MB (cached 0MB) CPU [0%@1344,4%@1344,100%@1344,0%@1344,86%@1113,0%@1113] GR3D_FREQ 65% cpu@49.625C soc2@48.625C soc0@49.25C gpu@50.031C tj@50.031C soc1@49.031C VDD_IN 6446mW/5647mW VDD_CPU_GPU_CV 1500mW/1083mW VDD_SOC 1740mW/1633mW
09-01-2026 15:00:33 RAM 4793/7620MB (lfb 8x1MB) SWAP 346/3810MB (cached 0MB) CPU [0%@1344,0%@1344,65%@1344,0%@1344,89%@1344,0%@1344] GR3D_FREQ 60% cpu@49.781C soc2@48.656C soc0@49.187C gpu@50.437C tj@50.437C soc1@49.125C VDD_IN 6446mW/5661mW VDD_CPU_GPU_CV 1500mW/1091mW VDD_SOC 1740mW/1635mW
