NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,675790,675790,1,1,14048,14048.0,14048.0,14048,14048,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xeadba79c8105dff3fdb08ce085e7b12c
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,675790,675790,1,1,13920,13920.0,13920.0,13920,13920,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x77624facc1459ff2bf110c24ed8021c9
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,675790,675790,1,1,13856,13856.0,13856.0,13856,13856,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x9b99130746ee47ec2d15b111319f425e
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,675790,675790,1,1,13856,13856.0,13856.0,13856,13856,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xf2d64d0cef819045fc9d252a6b31181b
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,675790,675790,1,1,13792,13792.0,13792.0,13792,13792,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xbc9bffbf2b5683589f7ee804485f8f6c
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,675790,675790,1,1,13792,13792.0,13792.0,13792,13792,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xd65f433ff7b34abefa6995ce894b46a3
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,675790,675790,1,1,13760,13760.0,13760.0,13760,13760,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x4119fc4c6529add99aa14081dbc16ecb
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,675790,675790,1,1,13472,13472.0,13472.0,13472,13472,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xe944abd3db8709490013ec56e805a4c9
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,675790,675790,1,1,13184,13184.0,13184.0,13184,13184,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x5bd2afd5a5411fb85888be6c8200be17
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,675790,675790,1,1,13152,13152.0,13152.0,13152,13152,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x2d193f06c4770a0b130c316a9152d3bb
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,675790,675790,1,1,13088,13088.0,13088.0,13088,13088,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xa203a21bb9a2ead322f314c5ed6c45fd
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,675790,675790,1,1,13088,13088.0,13088.0,13088,13088,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xb633f57e2e22833f593c4f215c79f20a
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,675790,675790,1,1,12448,12448.0,12448.0,12448,12448,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xa03da8bd0547b3997e4af5d64a9f7047
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,675790,675790,1,1,11776,11776.0,11776.0,11776,11776,0.0,__myl_MovResMulMea_0x61ec5b9962acde3fddf5628b2e6fd459
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,675790,675790,1,1,11232,11232.0,11232.0,11232,11232,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x8b0f22c4a2121702a93d8623b5a12ae4
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,675790,675790,1,1,10464,10464.0,10464.0,10464,10464,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x2b4860727aa16b8274c6a9e412ad0345
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,675790,675790,1,1,10432,10432.0,10432.0,10432,10432,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x84ef5602e3183b8229f8022d6e6eb74f
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,675790,675790,1,1,10368,10368.0,10368.0,10368,10368,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xb2a73dcdcb246645ed7bcf4e6ce7b3cc
