NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667830,667830,1,1,13568,13568.0,13568.0,13568,13568,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xf2d64d0cef819045fc9d252a6b31181b
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667830,667830,1,1,13504,13504.0,13504.0,13504,13504,0.0,__myl_CasResMulConSinResCosResAddSqrAddSqrDivMulDivMulMulResSliSliNegConMulMulAddConResRepResTraEtc_0x3beb58e4cd3dae3f69eebdbcbcc43980_com
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667830,667830,1,1,11680,11680.0,11680.0,11680,11680,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xdba6260d6d388ff570fe95b3f4430bd0
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667830,667830,1,1,10624,10624.0,10624.0,10624,10624,0.0,__myl_CasGat_0xdee2c73dd5d0e0fe099a0774cba2143f
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667830,667830,1,1,10624,10624.0,10624.0,10624,10624,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x4119fc4c6529add99aa14081dbc16ecb
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667830,667830,1,1,10432,10432.0,10432.0,10432,10432,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x77624facc1459ff2bf110c24ed8021c9
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667830,667830,1,1,10432,10432.0,10432.0,10432,10432,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xb633f57e2e22833f593c4f215c79f20a
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667830,667830,1,1,10432,10432.0,10432.0,10432,10432,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xe944abd3db8709490013ec56e805a4c9
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667830,667830,1,1,10368,10368.0,10368.0,10368,10368,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x9b99130746ee47ec2d15b111319f425e
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667830,667830,1,1,10336,10336.0,10336.0,10336,10336,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x2d193f06c4770a0b130c316a9152d3bb
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667830,667830,1,1,10336,10336.0,10336.0,10336,10336,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xd65f433ff7b34abefa6995ce894b46a3
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667830,667830,1,1,8896,8896.0,8896.0,8896,8896,0.0,__myl_MovResConResRep_0xeb90291bbf009f8413c8500b92afa70a_com
