PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
649196,649196,0,4,4,1390800.0,1613376.0,607552,1728896,529407.7,16240.0,16320.0,15616,16704,499.5,1361440.0,1583744.0,578432,1699840,529200.8,13120.0,13136.0,12416,13792,574.2,cuLaunchKernel,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xb633f57e2e22833f593c4f215c79f20a
649196,649196,0,3,1,1386816.0,56224.0,54048,4050176,2306537.7,1193237.3,48736.0,46432,3484544,1984330.1,555200.0,555200.0,555200,555200,0.0,9760.0,9440.0,9408,10432,582.2,cudaLaunchKernel,"void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &, const c10::Scalar &, const c10::Scalar &, at::Tensor &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)]>(T1, T2, function_traits<T2>::result_type *)"
649196,649196,0,4,4,1378512.0,1716960.0,192096,1888032,796026.8,16704.0,16320.0,15904,18272,1068.7,1348376.0,1687488.0,162592,1855936,795487.6,13432.0,13392.0,13120,13824,337.0,cuLaunchKernel,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xe944abd3db8709490013ec56e805a4c9
649196,649196,0,4,4,1372824.0,1586592.0,625376,1692736,504425.3,18984.0,17664.0,17312,23296,2889.0,1339952.0,1555040.0,594304,1655424,503008.6,13888.0,13888.0,13760,14016,107.7,cuLaunchKernel,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xf2d64d0cef819045fc9d252a6b31181b
649196,649196,0,3,3,1320330.7,594656.0,577504,2788832,1271788.4,17856.0,17856.0,17472,18240,384.0,1287232.0,561856.0,544512,2755328,1271438.0,15242.7,15264.0,15136,15328,97.8,cuLaunchKernel,__myl_NegExpAddDivMulMul_0x35e9fa130a3939e5b59c6ddbd0568b35_com_vec
649196,649196,0,104,104,1319825.8,1190784.0,267040,2540864,724078.3,15335.7,13984.0,12608,27040,3095.7,1060171.4,936960.0,1792,2276832,726917.3,244318.8,242272.0,234432,306816,12547.4,cuLaunchKernelEx,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
649196,649196,0,4,4,1296584.0,1504400.0,590432,1587104,475872.0,15960.0,16272.0,13984,17312,1407.1,1271736.0,1479456.0,567104,1560928,474817.4,8888.0,8784.0,8640,9344,318.3,cuLaunchKernel,__myl_MulMinMaxRouCas_0x472744a06bd7fd057961674c77025970
649196,649196,0,108,108,1245739.6,1287472.0,71776,2429120,718611.2,16949.9,17472.0,10112,42816,4501.0,1216552.6,1261488.0,40672,2397664,720310.4,12237.0,12160.0,10816,14272,685.1,cuLaunchKernel,__myl_ResMulMea_0x3c91498c3beee36a5653966af1581a8a
649196,649196,0,4,4,1242080.0,1415232.0,603936,1533920,431865.4,15416.0,15344.0,14784,16192,666.3,1218088.0,1391232.0,580864,1509024,431183.0,8576.0,8608.0,8288,8800,226.3,cuLaunchKernel,__myl_MulMinMaxRouCas_0x1fb837ee240f07d62ca7b72c8a105b6f
649196,649196,0,108,108,1236968.6,1280032.0,91488,2391360,706617.0,11038.5,10656.0,9312,18080,1576.6,1214799.4,1258688.0,67680,2369728,707180.9,11130.7,11408.0,9248,12544,734.9,cuLaunchKernel,__myl_AddSqrDivMulMulResSliSliNegConMulMulAdd_0xf1ba08cc3beaba8ee91b0504be9c2cf4
649196,649196,0,108,108,1219084.1,1277184.0,99744,2391872,725437.6,13033.2,12224.0,10560,21568,1993.6,1194154.7,1254480.0,71200,2368608,726037.9,11896.3,12112.0,9984,13120,641.0,cuLaunchKernel,__myl_ResMulMea_0xf2413012cd9ac6341b95d78f3432c656
649196,649196,0,112,112,1207080.0,1270720.0,72960,2400704,733098.6,15663.7,14352.0,12672,29120,3336.7,1140801.4,1205280.0,1984,2336288,734385.6,50614.9,50528.0,49856,51872,403.6,cuLaunchKernelEx,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
649196,649196,0,4,4,1206896.0,1394960.0,595264,1442400,409064.4,16256.0,16352.0,15552,16768,584.2,1181592.0,1369296.0,569760,1418016,409220.1,9048.0,9008.0,8672,9504,371.7,cuLaunchKernel,__myl_MulMinMaxRouCas_0x7c03f425cd0cc19febc97cb69c1f2cdb
649196,649196,0,112,112,1191085.7,1244816.0,61024,2383104,725112.0,16696.9,14800.0,13152,29440,3817.6,1141540.9,1197376.0,3968,2335456,726308.0,32848.0,33024.0,30528,33792,834.8,cuLaunchKernelEx,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
649196,649196,0,8,8,1180012.0,1348512.0,545568,1491936,392909.5,13524.0,13440.0,11296,16064,2142.4,1154684.0,1322656.0,519104,1467232,393146.2,11804.0,11920.0,10400,13248,1266.0,cuLaunchKernel,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xcf81b38212e8f296e353aae060904a23
649196,649196,0,4,4,1166576.0,1336416.0,576576,1416896,396042.4,16128.0,16144.0,14912,17312,999.4,1141768.0,1311872.0,550976,1392352,396614.5,8680.0,8704.0,8288,9024,306.2,cuLaunchKernel,__myl_MulMinMaxRouCas_0xfffd234660cce4d6758da70fc32eeb17
649196,649196,0,505,505,1164754.6,1086848.0,81632,2617120,745823.4,20252.3,18624.0,15168,61792,4284.4,1058266.3,976512.0,2208,2518592,746377.8,86236.1,88160.0,52832,98496,7622.0,cuLaunchKernelEx,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_fused
649196,649196,0,8,8,1132380.0,450880.0,186816,2451040,1044349.5,15348.0,15136.0,13504,17376,1314.4,1104564.0,423456.0,156928,2425024,1044658.8,12468.0,12464.0,12416,12544,51.1,cuLaunchKernel,__myl_MulMeaAddSqrDivMulMul_0x8548fa9a57c713be1fdaa27c95458b99
649196,649196,0,4,4,1121216.0,1295184.0,521408,1373088,402364.6,15888.0,15824.0,14912,16992,887.8,1092232.0,1266272.0,491296,1345088,403168.8,13096.0,13104.0,13056,13120,30.6,cuLaunchKernel,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xbc9bffbf2b5683589f7ee804485f8f6c
649196,649196,0,4,4,1107056.0,1266096.0,593472,1302560,342825.9,16336.0,16096.0,14112,19040,2059.1,1081592.0,1239792.0,570816,1275968,340958.2,9128.0,8944.0,8544,10080,690.5,cuLaunchKernel,__myl_MulMinMaxRouCas_0x806abff2303c4adb22dac0953af546a1
