Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Range
0.0,1428608,108,13227.9,12672.0,11232,20320,1695.9,myelin-exec:__myl_AddSqrDivMulMulResSliSliNegConMulMulAdd
0.0,1201408,11,109218.9,113760.0,86912,134752,15093.3,myelin-exec:/MatMul
0.0,1159552,7,165650.3,161440.0,157792,186912,10041.3,TensorRT:{ForeignNode[onnx::MatMul_4 + ONNXTRT_Broadcast.../MatMul]}
0.0,1123392,81,13869.0,13536.0,11040,28640,2199.2,myelin-exec:__myl_AddSqrDivMulMulTraSliSliNegConMulMulAddRes
0.0,955584,7,136512.0,134848.0,132128,147264,5056.5,TensorRT:{ForeignNode[/Cast.../Cast_1]}
0.0,926016,7,132288.0,86272.0,81120,382848,111194.4,TensorRT:{ForeignNode[ONNXTRT_castHelper.../Gather]}
0.0,890048,75,11867.3,11648.0,10112,17056,1218.0,myelin-exec:__myl_ResTra
0.0,602080,4,150520.0,148400.0,132832,172448,19320.2,myelin-exec:__myl_FcNegExpAddDivMulMul
0.0,538880,7,76982.9,76672.0,74720,81216,2191.8,myelin-exec:__myl_MovMulMeaAddSqrDivMulMulCas
0.0,446240,7,63748.6,51296.0,42208,157088,41486.3,myelin-exec:/up_proj_1/MatMul
0.0,362336,7,51762.3,42880.0,40672,73824,14342.6,myelin-exec:__myl_CasGat
0.0,353344,7,50477.7,47968.0,37664,72704,11482.7,myelin-exec:/up_proj_27/MatMul
0.0,345792,7,49398.9,40960.0,38944,91584,19096.1,myelin-exec:/up_proj_9/MatMul
0.0,344896,4,86224.0,86912.0,82816,88256,2400.1,myelin-exec:__myl_MovMulMeaAddSqrDivMulDivMinMaxRouCasDivMinMaxRouCasDivMinMaxRouCas
0.0,341280,7,48754.3,46272.0,39584,67008,9507.1,myelin-exec:/up_proj_21/MatMul
0.0,336160,7,48022.9,44320.0,38144,75712,12555.3,myelin-exec:/up_proj_19/MatMul
0.0,331392,7,47341.7,44000.0,40832,61984,7946.2,myelin-exec:/up_proj_24/MatMul
0.0,321312,7,45901.7,43136.0,38624,65440,9108.2,myelin-exec:/up_proj_23/MatMul
0.0,319456,7,45636.6,41504.0,40960,70080,10790.9,myelin-exec:/up_proj_22/MatMul
0.0,318848,7,45549.7,41376.0,38880,68032,10109.8,myelin-exec:/up_proj_26/MatMul
0.0,317888,7,45412.6,46880.0,39936,50272,4292.0,myelin-exec:/up_proj_8/MatMul
0.0,316640,7,45234.3,44224.0,37632,56288,6346.0,myelin-exec:/up_proj_25/MatMul
0.0,315328,7,45046.9,43168.0,39392,58400,6438.2,myelin-exec:/up_proj_17/MatMul
0.0,314464,7,44923.4,42432.0,40096,61344,7340.2,myelin-exec:/up_proj_20/MatMul
0.0,309984,7,44283.4,43680.0,39456,49920,3518.5,myelin-exec:/up_proj_18/MatMul
