Range,Style,Total Proj Time (ns),Total Range Time (ns),Range Instances,Proj Avg (ns),Proj Med (ns),Proj Min (ns),Proj Max (ns),Proj StdDev (ns),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
myelin-exec:/MatMul_36,PushPop,123136,172288,4,30784.0,30784.0,30688,30880,110.9,4,1.0,4.0,0.0
myelin-exec:/MatMul_14,PushPop,123072,174208,4,30768.0,30768.0,30752,30784,18.5,4,1.0,4.0,0.0
myelin-exec:/MatMul_22,PushPop,123040,172160,4,30760.0,30800.0,30624,30816,91.9,4,1.0,4.0,0.0
myelin-exec:/MatMul_42,PushPop,123040,172384,4,30760.0,30736.0,30656,30912,108.9,4,1.0,4.0,0.0
myelin-exec:/MatMul_32,PushPop,122880,176576,4,30720.0,30736.0,30560,30848,125.3,4,1.0,4.0,0.0
myelin-exec:/MatMul_50,PushPop,122880,168928,4,30720.0,30736.0,30592,30816,94.2,4,1.0,4.0,0.0
myelin-exec:/MatMul_30,PushPop,122848,164448,4,30712.0,30688.0,30624,30848,99.1,4,1.0,4.0,0.0
myelin-exec:/MatMul_34,PushPop,122624,190464,4,30656.0,30624.0,30624,30752,64.0,4,1.0,4.0,0.0
myelin-exec:/MatMul_54,PushPop,120576,185824,4,30144.0,30720.0,28288,30848,1239.1,4,1.0,4.0,0.0
myelin-exec:__myl_CasResMulConSinResCosResAddSqrAddSqrDivMulDivMulMulTraSliSliNegConMulMulAddResSliRepResTraEtc,PushPop,89280,59424,3,29760.0,29536.0,29472,30272,444.6,3,1.0,3.3,0.0
myelin-exec:__myl_RepIotIotRepCasAddCasEqlLtOrSel,PushPop,34432,273376,3,11477.3,11456.0,11232,11744,256.7,3,1.0,3.3,0.0
