NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
:A1_decode_step_0,PushPop,649196,649196,1,1,9344,9344.0,9344.0,9344,9344,0.0,__myl_MulMinMaxRouCas_0xca1e8a983af10962a50c67e0fecf3bd1
:A1_decode_step_0,PushPop,649196,649196,1,1,8576,8576.0,8576.0,8576,8576,0.0,__myl_MulMinMaxRouCas_0x907030f04aaedcd668915c250cbde546
:A1_decode_step_0,PushPop,649196,649196,1,1,8576,8576.0,8576.0,8576,8576,0.0,__myl_MulMinMaxRouCas_0x998f9d85786c1705f75b803510b59e30
:A1_decode_step_0,PushPop,649196,649196,1,1,8544,8544.0,8544.0,8544,8544,0.0,__myl_MulMinMaxRouCas_0x0b3337a1cc9120f6d73fd89c494a9e53
:A1_decode_step_0,PushPop,649196,649196,1,1,8544,8544.0,8544.0,8544,8544,0.0,__myl_MulMinMaxRouCas_0x806abff2303c4adb22dac0953af546a1
:A1_decode_step_0,PushPop,649196,649196,1,1,8512,8512.0,8512.0,8512,8512,0.0,__myl_MulMinMaxRouCas_0x36a6981344c30226a5bbeed5f55c92f7
:A1_decode_step_0,PushPop,649196,649196,1,1,8512,8512.0,8512.0,8512,8512,0.0,__myl_MulMinMaxRouCas_0x6a10bd9f6c374e5ad061c0d2824b0a25
:A1_decode_step_0,PushPop,649196,649196,1,1,8512,8512.0,8512.0,8512,8512,0.0,__myl_MulMinMaxRouCas_0x77ca5ed9b2797810688767dcda08897e
:A1_decode_step_0,PushPop,649196,649196,1,1,8384,8384.0,8384.0,8384,8384,0.0,__myl_MulMinMaxRouCas_0x2bde768f3e1a80e37132bb2f4be64789
:A1_decode_step_0,PushPop,649196,649196,1,1,8352,8352.0,8352.0,8352,8352,0.0,__myl_MulMinMaxRouCas_0x46757e257e41ef1fb92716579e35a0d1
:A1_decode_step_0,PushPop,649196,649196,1,1,8288,8288.0,8288.0,8288,8288,0.0,__myl_MulMinMaxRouCas_0x1fb837ee240f07d62ca7b72c8a105b6f
:A1_decode_step_0,PushPop,649196,649196,1,1,8288,8288.0,8288.0,8288,8288,0.0,__myl_MulMinMaxRouCas_0xfffd234660cce4d6758da70fc32eeb17
:A1_decode_step_0,PushPop,649196,649196,1,1,8224,8224.0,8224.0,8224,8224,0.0,__myl_MulMinMaxRouCas_0x8dd8f4f93c6a1e7d8a5025e20f21222e
:A1_decode_step_0,PushPop,649196,649196,1,1,7968,7968.0,7968.0,7968,7968,0.0,__myl_MulMinMaxRouCas_0x9ee6ac5b9454da6749214d07f11973df
