NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
:A1_decode_step_2,PushPop,648714,648714,1,28,285152,10184.0,10000.0,9792,10752,347.5,__myl_MovResMulMea_0x61ec5b9962acde3fddf5628b2e6fd459
:A1_decode_step_2,PushPop,648714,648714,1,27,251328,9308.4,9312.0,9248,9440,52.0,__myl_AddSqrDivMulMulResSliSliNegConMulMulAdd_0xf1ba08cc3beaba8ee91b0504be9c2cf4
:A1_decode_step_2,PushPop,648714,648714,1,1,158624,158624.0,158624.0,158624,158624,0.0,trt_ampere_h16816gemm_64x64_ldg8_relu_stages_64x5_nn_v1
:A1_decode_step_2,PushPop,648714,648714,1,1,40416,40416.0,40416.0,40416,40416,0.0,__myl_CasResMulConSinResCosResAddSqrAddSqrDivMulDivMulMulResSliSliNegConMulMulAddConResRepResTraEtc_0x3beb58e4cd3dae3f69eebdbcbcc43980
:A1_decode_step_2,PushPop,648714,648714,1,1,24576,24576.0,24576.0,24576,24576,0.0,__myl_CasGat_0xdee2c73dd5d0e0fe099a0774cba2143f
:A1_decode_step_2,PushPop,648714,648714,1,1,21440,21440.0,21440.0,21440,21440,0.0,__myl_MovMulMeaAddSqrDivMulMulCas_0x62665ed68e2d72f01be2ec50e848f2e2_vec
:A1_decode_step_2,PushPop,648714,648714,1,1,19136,19136.0,19136.0,19136,19136,0.0,__myl_MovMulMeaAddSqrDivMulMul_0x2a5532526e8c57d9427ed6b89bda5183
:A1_decode_step_3,PushPop,648714,648714,1,82,19376320,236296.6,241520.0,163360,308256,56666.0,sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
:A1_decode_step_3,PushPop,648714,648714,1,1,10114400,10114400.0,10114400.0,10114400,10114400,0.0,trt_ampere_h16816gemm_128x64_ldg8_nn_v1
:A1_decode_step_3,PushPop,648714,648714,1,28,7093504,253339.4,257184.0,171712,262048,16434.8,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_fused
