Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.0,35616,4,8904.0,8784.0,8704,9344,296.0,__myl_MulMinMaxRouCas_0xca1e8a983af10962a50c67e0fecf3bd1
0.0,35584,4,8896.0,8896.0,8576,9216,334.6,__myl_MulMinMaxRouCas_0x907030f04aaedcd668915c250cbde546
0.0,35552,4,8888.0,8784.0,8640,9344,318.3,__myl_MulMinMaxRouCas_0x472744a06bd7fd057961674c77025970
0.0,35264,4,8816.0,8800.0,8544,9120,235.9,__myl_MulMinMaxRouCas_0x0b3337a1cc9120f6d73fd89c494a9e53
0.0,35264,4,8816.0,8800.0,8512,9152,267.1,__myl_MulMinMaxRouCas_0x36a6981344c30226a5bbeed5f55c92f7
0.0,35264,4,8816.0,8880.0,8352,9152,337.1,__myl_MulMinMaxRouCas_0x46757e257e41ef1fb92716579e35a0d1
0.0,35104,4,8776.0,8848.0,8384,9024,281.9,__myl_MulMinMaxRouCas_0x2bde768f3e1a80e37132bb2f4be64789
0.0,35008,4,8752.0,8816.0,8512,8864,162.1,__myl_MulMinMaxRouCas_0x6a10bd9f6c374e5ad061c0d2824b0a25
0.0,34880,4,8720.0,8768.0,8576,8768,96.0,__myl_MulMinMaxRouCas_0x998f9d85786c1705f75b803510b59e30
0.0,34816,4,8704.0,8848.0,8224,8896,323.2,__myl_MulMinMaxRouCas_0x8dd8f4f93c6a1e7d8a5025e20f21222e
0.0,34752,4,8688.0,8896.0,7936,9024,505.0,__myl_MulMinMaxRouCas_0x59f8206e6baa651ad7dab50737cc8951
0.0,34720,4,8680.0,8704.0,8288,9024,306.2,__myl_MulMinMaxRouCas_0xfffd234660cce4d6758da70fc32eeb17
0.0,34656,4,8664.0,8688.0,8512,8768,108.9,__myl_MulMinMaxRouCas_0x77ca5ed9b2797810688767dcda08897e
0.0,34304,4,8576.0,8608.0,8288,8800,226.3,__myl_MulMinMaxRouCas_0x1fb837ee240f07d62ca7b72c8a105b6f
0.0,34176,4,8544.0,8704.0,7968,8800,386.7,__myl_MulMinMaxRouCas_0x9ee6ac5b9454da6749214d07f11973df
0.0,34112,4,8528.0,8640.0,7968,8864,388.0,__myl_MulMinMaxRouCas_0xa64eacd40f6a244c6f97851e4148bfa0
0.0,33504,4,8376.0,8384.0,7936,8800,424.0,__myl_MulMinMaxRouCas_0x56e74360c3e8a36d72970af72bdd3e2b
0.0,32544,4,8136.0,8112.0,7936,8384,219.2,__myl_MulMinMaxRouCas_0xf131f88ee6d7693232e76c9290134799
0.0,32128,4,8032.0,7952.0,7904,8320,193.8,__myl_MulMinMaxRouCas_0xa49a3c4e66279a6886312b656336d70d
0.0,29280,3,9760.0,9440.0,9408,10432,582.2,"void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &, const c10::Scalar &, const c10::Scalar &, at::Tensor &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)]>(T1, T2, function_traits<T2>::result_type *)"
0.0,29152,3,9717.3,9856.0,9376,9920,297.3,__myl_RepIotIotRepCasAddCasEqlLtOrSel_0xeed00a2999d9a920ce4be4d44852c879_com
0.0,28640,1,28640.0,28640.0,28640,28640,0.0,__myl_CasResMulConSinResCosResAddSqrAddSqrDivMulDivMulMulResSliSliNegConMulMulAddConResRepResTraEtc_0x3beb58e4cd3dae3f69eebdbcbcc43980_com
0.0,16800,1,16800.0,16800.0,16800,16800,0.0,__myl_MovResConResRep_0xeb90291bbf009f8413c8500b92afa70a_com
